"experiment","description","EFOType","EFOValue"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8101.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8124.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8132.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8132.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8166.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8094.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8066.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8028.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8059.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8005.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8152.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8067.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8151.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8057.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8006.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8197.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8107.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8072.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8038.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8112.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8020.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8142.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8037.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8055.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8149.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8138.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8115.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8091.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8040.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8155.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8180.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8004.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8003.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8092.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8100.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8146.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8199.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8198.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8191.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8034.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8100.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8043.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8210.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8102.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8200.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8147.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8174.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8062.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8022.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8063.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8130.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8075.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8186.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8084.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8080.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8067.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8039.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8063.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8040.3"
